timestamp,elapsed_s,cpu_percent,cpu_temp_c,memory_percent,gpu_percent,gpu_temp_c,gpu_memory_used_mb,gpu_memory_total_mb,gpu_power_w,fps
2026-06-08T02:08:19,0.54,0.0,,60.1,12.0,41.0,968.0,6144.0,19.24,
2026-06-08T02:08:20,1.65,27.0,,60.2,17.0,41.0,968.0,6144.0,16.06,
2026-06-08T02:08:21,2.76,15.4,20.05000000000001,60.1,27.0,41.0,968.0,6144.0,13.93,52.653201904754795
2026-06-08T02:08:22,3.86,12.2,20.05000000000001,60.1,9.0,41.0,968.0,6144.0,15.6,34.725483095133235
2026-06-08T02:08:24,4.96,10.0,20.05000000000001,60.0,10.0,41.0,968.0,6144.0,14.3,41.59014269145584
2026-06-08T02:08:25,6.05,8.9,20.05000000000001,60.1,9.0,41.0,968.0,6144.0,14.55,25.318436302991802
2026-06-08T02:08:26,7.14,15.8,20.05000000000001,60.1,7.0,41.0,968.0,6144.0,14.62,25.318436302991802
2026-06-08T02:08:27,8.24,15.7,20.05000000000001,60.0,10.0,41.0,968.0,6144.0,14.67,25.60296445876754
2026-06-08T02:08:28,9.32,23.1,20.05000000000001,60.0,6.0,41.0,968.0,6144.0,14.84,23.722993250254884
2026-06-08T02:08:29,10.57,53.3,20.05000000000001,60.0,4.0,41.0,968.0,6144.0,14.8,30.14037868919792
2026-06-08T02:08:30,11.68,92.5,20.05000000000001,60.3,6.0,41.0,968.0,6144.0,14.64,22.517868867190654
2026-06-08T02:08:31,12.78,15.1,20.05000000000001,60.3,14.0,41.0,967.0,6144.0,14.64,20.811534695984754
2026-06-08T02:08:32,13.87,14.4,20.05000000000001,60.3,16.0,41.0,972.0,6144.0,14.82,45.032213371043454
2026-06-08T02:08:34,14.98,16.3,20.05000000000001,60.3,34.0,41.0,973.0,6144.0,15.16,56.29744114993904
2026-06-08T02:08:35,16.09,24.4,20.05000000000001,60.3,17.0,41.0,966.0,6144.0,14.28,46.95118911880288
2026-06-08T02:08:36,17.2,20.3,20.05000000000001,60.3,13.0,41.0,965.0,6144.0,15.46,30.831498802059244
2026-06-08T02:08:37,18.3,11.1,20.05000000000001,60.3,18.0,41.0,965.0,6144.0,14.89,41.60008326179627
2026-06-08T02:08:38,19.39,9.5,20.05000000000001,60.3,12.0,41.0,965.0,6144.0,13.83,22.7163551093323
2026-06-08T02:08:39,20.47,6.4,20.05000000000001,60.3,11.0,41.0,965.0,6144.0,12.94,4.696687093555104
2026-06-08T02:08:40,21.57,3.8,20.05000000000001,60.2,2.0,41.0,965.0,6144.0,12.9,14.78422643284657
2026-06-08T02:08:41,22.68,14.9,20.05000000000001,60.2,1.0,40.0,965.0,6144.0,12.97,5.474195191287788
2026-06-08T02:08:42,23.78,8.2,20.05000000000001,60.2,0.0,40.0,965.0,6144.0,12.96,11.714076266602067
2026-06-08T02:08:43,24.88,6.2,20.05000000000001,60.2,1.0,40.0,965.0,6144.0,12.92,5.51526910737406
2026-06-08T02:08:45,26.06,85.0,20.05000000000001,60.3,8.0,40.0,965.0,6144.0,12.98,9.223873179368852
2026-06-08T02:08:46,27.15,28.5,20.05000000000001,60.3,0.0,40.0,965.0,6144.0,12.91,9.27675584250083
